"","Stdev","Trial#"
"1",7,4139
"2",7,4361
"3",8,1316
"4",8,1530
"5",8,2243
"6",8,2971
"7",8,3695
"8",8,3712
"9",8,4139
"10",8,4314
"11",8,4350
"12",8,4361
"13",8,5238
"14",8,5518
"15",8,5703
"16",8,6243
"17",8,6442
"18",8,7524
"19",8,7641
"20",8,7659
"21",8,7732
"22",8,8281
"23",9,101
"24",9,207
"25",9,256
"26",9,291
"27",9,415
"28",9,512
"29",9,540
"30",9,597
"31",9,726
"32",9,797
"33",9,870
"34",9,1042
"35",9,1208
"36",9,1316
"37",9,1530
"38",9,1604
"39",9,1660
"40",9,1676
"41",9,1784
"42",9,2054
"43",9,2068
"44",9,2243
"45",9,2423
"46",9,2447
"47",9,2517
"48",9,2555
"49",9,2667
"50",9,2780
"51",9,2909
"52",9,2971
"53",9,3258
"54",9,3470
"55",9,3695
"56",9,3712
"57",9,3894
"58",9,4139
"59",9,4193
"60",9,4196
"61",9,4314
"62",9,4350
"63",9,4351
"64",9,4361
"65",9,4480
"66",9,4498
"67",9,4522
"68",9,4722
"69",9,4765
"70",9,4884
"71",9,4885
"72",9,4974
"73",9,5238
"74",9,5484
"75",9,5498
"76",9,5518
"77",9,5619
"78",9,5703
"79",9,5804
"80",9,5927
"81",9,6009
"82",9,6177
"83",9,6243
"84",9,6260
"85",9,6438
"86",9,6442
"87",9,6475
"88",9,6546
"89",9,6634
"90",9,6653
"91",9,6806
"92",9,6837
"93",9,6858
"94",9,7076
"95",9,7166
"96",9,7368
"97",9,7524
"98",9,7632
"99",9,7641
"100",9,7659
"101",9,7684
"102",9,7704
"103",9,7732
"104",9,7962
"105",9,7971
"106",9,7994
"107",9,8161
"108",9,8194
"109",9,8281
"110",9,8372
"111",9,8440
"112",9,8608
"113",9,8647
"114",9,8648
"115",9,8780
"116",9,8936
"117",9,8961
"118",9,8977
"119",9,9002
"120",9,9076
"121",9,9222
"122",9,9489
"123",9,9518
"124",9,9565
"125",9,9742
"126",9,9751
"127",9,9877
"128",9,9945
"129",10,19
"130",10,71
"131",10,87
"132",10,101
"133",10,128
"134",10,152
"135",10,167
"136",10,207
"137",10,217
"138",10,223
"139",10,254
"140",10,256
"141",10,291
"142",10,315
"143",10,353
"144",10,356
"145",10,374
"146",10,415
"147",10,434
"148",10,512
"149",10,515
"150",10,540
"151",10,541
"152",10,567
"153",10,597
"154",10,669
"155",10,714
"156",10,726
"157",10,742
"158",10,762
"159",10,797
"160",10,807
"161",10,815
"162",10,839
"163",10,841
"164",10,870
"165",10,871
"166",10,882
"167",10,1011
"168",10,1026
"169",10,1042
"170",10,1090
"171",10,1208
"172",10,1211
"173",10,1278
"174",10,1316
"175",10,1371
"176",10,1373
"177",10,1379
"178",10,1530
"179",10,1531
"180",10,1604
"181",10,1621
"182",10,1660
"183",10,1676
"184",10,1689
"185",10,1718
"186",10,1784
"187",10,1797
"188",10,1863
"189",10,1880
"190",10,1900
"191",10,1951
"192",10,2017
"193",10,2054
"194",10,2068
"195",10,2069
"196",10,2077
"197",10,2110
"198",10,2124
"199",10,2128
"200",10,2129
"201",10,2219
"202",10,2241
"203",10,2243
"204",10,2255
"205",10,2284
"206",10,2330
"207",10,2363
"208",10,2392
"209",10,2421
"210",10,2423
"211",10,2447
"212",10,2470
"213",10,2486
"214",10,2490
"215",10,2493
"216",10,2498
"217",10,2502
"218",10,2508
"219",10,2517
"220",10,2526
"221",10,2538
"222",10,2555
"223",10,2576
"224",10,2604
"225",10,2613
"226",10,2648
"227",10,2663
"228",10,2667
"229",10,2780
"230",10,2792
"231",10,2800
"232",10,2805
"233",10,2808
"234",10,2877
"235",10,2907
"236",10,2909
"237",10,2924
"238",10,2939
"239",10,2942
"240",10,2966
"241",10,2971
"242",10,2977
"243",10,3003
"244",10,3026
"245",10,3030
"246",10,3054
"247",10,3071
"248",10,3155
"249",10,3258
"250",10,3348
"251",10,3384
"252",10,3413
"253",10,3417
"254",10,3436
"255",10,3470
"256",10,3492
"257",10,3548
"258",10,3555
"259",10,3637
"260",10,3695
"261",10,3712
"262",10,3715
"263",10,3716
"264",10,3719
"265",10,3734
"266",10,3749
"267",10,3792
"268",10,3794
"269",10,3810
"270",10,3816
"271",10,3823
"272",10,3875
"273",10,3894
"274",10,3971
"275",10,3999
"276",10,4139
"277",10,4166
"278",10,4193
"279",10,4196
"280",10,4314
"281",10,4350
"282",10,4351
"283",10,4361
"284",10,4388
"285",10,4468
"286",10,4480
"287",10,4486
"288",10,4498
"289",10,4522
"290",10,4528
"291",10,4581
"292",10,4683
"293",10,4722
"294",10,4725
"295",10,4765
"296",10,4828
"297",10,4829
"298",10,4835
"299",10,4873
"300",10,4884
"301",10,4885
"302",10,4910
"303",10,4920
"304",10,4974
"305",10,5031
"306",10,5037
"307",10,5184
"308",10,5195
"309",10,5238
"310",10,5273
"311",10,5307
"312",10,5326
"313",10,5377
